Id,Description,Amount,Date,Owner
483,Comida,6399,2018-07-27,Mad Max
484,Comida,6719,2018-04-27,Bert Macklin
485,Adornos,9360,2018-07-27,Jacceline Broom
486,Deporte,3756,2018-11-27,Jacceline Broom
487,Comida,9353,2018-02-27,Paula Lionheart
488,Musica,2383,2018-11-27,Mad Max
489,Deporte,2555,2018-05-27,Paula Lionheart
490,Musica,4812,2018-08-27,Jacceline Broom
491,Adornos,1612,2019-01-27,Paula Lionheart
492,Adornos,6968,2019-01-27,Paula Lionheart
493,Deporte,2479,2018-10-27,Bert Macklin
494,Comida,8298,2018-02-27,Paula Lionheart
495,Adornos,8923,2018-12-27,Mad Max
496,Adornos,6938,2018-05-27,Paula Lionheart
497,Deporte,7848,2019-01-27,Mad Max
498,Comida,8296,2018-09-27,Jacceline Broom
499,Deporte,8858,2018-08-27,Paula Lionheart
500,Musica,8248,2018-04-27,Jacceline Broom
501,Comida,6566,2018-09-27,Bert Macklin
502,Deporte,3750,2018-03-27,Jacceline Broom
503,Adornos,3811,2018-05-27,Paula Lionheart
504,Musica,6907,2018-08-27,Bert Macklin
505,Deporte,8754,2018-07-27,Mad Max
506,Musica,1458,2018-05-27,Bert Macklin
507,Musica,446,2019-01-27,Paula Lionheart
508,Adornos,877,2018-04-27,Mad Max
509,Deporte,8507,2019-01-27,Paula Lionheart
510,Musica,3474,2018-04-27,Paula Lionheart
511,Musica,9447,2018-11-27,Mad Max
512,Adornos,8671,2018-05-27,Bert Macklin
513,Comida,8023,2018-08-27,Paula Lionheart
514,Comida,3675,2018-04-27,Jacceline Broom
515,Deporte,1217,2019-01-27,Jacceline Broom
516,Comida,579,2018-04-27,Jacceline Broom
517,Adornos,165,2018-04-27,Bert Macklin
518,Adornos,8352,2018-02-27,Bert Macklin
519,Musica,690,2018-11-27,Jacceline Broom
520,Comida,4903,2018-08-27,Paula Lionheart
521,Adornos,3502,2018-11-27,Paula Lionheart
522,Deporte,6551,2018-05-27,Mad Max
523,Adornos,9386,2018-12-27,Bert Macklin
524,Musica,8006,2018-12-27,Mad Max
525,Adornos,6270,2018-11-27,Bert Macklin
526,Comida,4048,2018-07-27,Mad Max
527,Musica,7168,2018-02-27,Paula Lionheart
528,Adornos,9580,2018-03-27,Mad Max
529,Adornos,2418,2019-01-27,Mad Max
530,Musica,7072,2018-03-27,Mad Max
531,Musica,8966,2018-09-27,Jacceline Broom
532,Musica,428,2018-09-27,Paula Lionheart
533,Comida,5882,2018-03-27,Mad Max
534,Musica,351,2018-09-27,Mad Max
535,Deporte,3184,2018-11-27,Mad Max
536,Comida,6362,2018-06-27,Bert Macklin
537,Musica,8429,2018-07-27,Jacceline Broom
538,Adornos,3630,2018-02-27,Paula Lionheart
539,Comida,4474,2018-03-27,Jacceline Broom
540,Deporte,5112,2018-03-27,Paula Lionheart
541,Comida,4837,2018-03-27,Paula Lionheart
542,Deporte,3686,2018-02-27,Jacceline Broom
543,Adornos,8006,2018-08-27,Mad Max
544,Deporte,8353,2018-03-27,Mad Max
545,Deporte,1253,2018-07-27,Bert Macklin
546,Comida,4429,2019-01-27,Bert Macklin
547,Musica,8594,2018-08-27,Jacceline Broom
548,Musica,6856,2018-11-27,Paula Lionheart
549,Adornos,1766,2018-11-27,Mad Max
550,Comida,2002,2018-08-27,Paula Lionheart
551,Comida,523,2018-08-27,Jacceline Broom
552,Comida,1531,2018-12-27,Paula Lionheart
553,Comida,7879,2018-07-27,Paula Lionheart
554,Musica,8658,2018-06-27,Jacceline Broom
555,Adornos,2632,2018-05-27,Paula Lionheart
556,Adornos,6519,2018-12-27,Bert Macklin
557,Comida,6084,2018-12-27,Paula Lionheart
558,Adornos,1640,2018-08-27,Paula Lionheart
559,Deporte,4690,2018-06-27,Bert Macklin
560,Comida,9460,2019-01-27,Mad Max
561,Adornos,7938,2018-04-27,Bert Macklin
562,Adornos,9942,2018-03-27,Paula Lionheart
563,Musica,8339,2018-08-27,Mad Max
564,Deporte,2812,2018-06-27,Bert Macklin
565,Adornos,8953,2018-10-27,Mad Max
566,Adornos,7268,2018-05-27,Mad Max
567,Adornos,9126,2019-01-27,Jacceline Broom
568,Adornos,2062,2018-12-27,Mad Max
569,Comida,9865,2018-05-27,Paula Lionheart
570,Adornos,2270,2018-06-27,Mad Max
571,Adornos,3802,2018-05-27,Bert Macklin
572,Comida,6268,2018-02-27,Bert Macklin
573,Deporte,6235,2019-01-27,Mad Max
574,Musica,4296,2018-04-27,Mad Max
